Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDTREE,EQ,11-Apr-19,970.25,973,979,970.3,978,976.65,975.39,1115408,1087953067,37292,669418,60.02
MINDTREE,EQ,12-Apr-19,976.65,976,979,971.3,978.8,975.65,975.35,456663,445404417.9,14810,194580,42.61
MINDTREE,EQ,15-Apr-19,975.65,977,985.7,972.25,979.6,979.65,979.79,792811,776789180.5,19578,394858,49.8
MINDTREE,EQ,16-Apr-19,979.65,982,987.85,969.1,972.5,972.45,981.16,672044,659382708.9,22297,292359,43.5
MINDTREE,EQ,18-Apr-19,972.45,979,986.95,961,966,968.5,975.73,2285726,2230247413,54911,598103,26.17
MINDTREE,EQ,22-Apr-19,968.5,967,979,966,975.1,976.2,974.8,937745,914111140.4,26393,501640,53.49
MINDTREE,EQ,23-Apr-19,976.2,974.9,982,966.65,975.6,975.4,976.6,477570,466396098.9,11920,132863,27.82
MINDTREE,EQ,24-Apr-19,975.4,976,980.5,975.5,980,979.4,978.36,326956,319880525.9,10646,151927,46.47
MINDTREE,EQ,25-Apr-19,979.4,978,995,973.25,981.4,989.4,986.03,617828,609196659.8,9731,306085,49.54
MINDTREE,EQ,26-Apr-19,989.4,984.4,985.95,974,977,975.85,979.84,370028,362567037.2,9127,99533,26.9
MINDTREE,EQ,30-Apr-19,975.85,977.7,990,977.7,980,981.25,983.33,688189,676719235.9,21888,188694,27.42
MINDTREE,EQ,02-May-19,981.25,985,986.6,977.15,982,981.4,981.48,323640,317647553.3,11346,124020,38.32
MINDTREE,EQ,03-May-19,981.4,983,983.85,966,974.75,970.2,970.53,476833,462782545.8,14149,162234,34.02
MINDTREE,EQ,06-May-19,970.2,969,983.5,962.4,982,981.75,979.23,1604808,1571472153,10494,1305298,81.34
MINDTREE,EQ,07-May-19,981.75,982.8,985,975,981,979.95,979.77,1242934,1217783787,10864,884988,71.2
MINDTREE,EQ,08-May-19,979.95,981,985,971.05,982,980.5,979.84,4301316,4214603389,13038,3851210,89.54
MINDTREE,EQ,09-May-19,980.5,979.6,983.15,976.1,980.9,980.45,980.02,3787159,3711482425,8159,3479880,91.89
MINDTREE,EQ,10-May-19,980.45,980.4,982.9,973,974,975.35,977.55,215170,210339592.4,5128,26734,12.42
MINDTREE,EQ,13-May-19,975.35,973.4,983,970.3,981,979.1,980.16,485941,476299706.8,14005,222691,45.83
